Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Mothership,MSP,0.101944,49997.4,14272160.0,-0.82%,2.49%,0.14%
Golos,GOLOS,0.112861,31761.5,14053326.6077,-1.62%,4.55%,-5.03%
BlockMason Cr...,BCPT,0.306652,1756210.0,13850305.5624,-0.65%,-22.30%,132.50%
Clams,CLAM,5.08583,561267.0,13805045.8277,0.26%,9.98%,3.25%
Omni,OMNI,24.0966,120447.0,13496841.3367,-0.45%,-0.91%,3.72%
Energycoin,ENRG,0.109758,12832.5,13323270.5222,-1.07%,7.20%,-10.41%
MonetaryUnit,MUE,0.103345,72775.6,13275021.7902,-2.56%,9.66%,1.62%
SaluS,SLS,12.9729,45964.8,13035314.4729,-1.56%,-0.49%,-10.65%
Shift,SHIFT,1.1327,304797.0,12916846.5063,-1.66%,6.57%,10.66%
Radium,RADS,3.78457,228917.0,12824021.8253,-0.68%,-4.66%,13.97%
Synereo,AMP,0.154904,278692.0,12741833.6129,-1.18%,-2.63%,1.82%
Vcash,XVC,0.829045,278194.0,12646623.3876,0.58%,6.15%,-2.44%
Po.et,POE,0.00578194,13648.2,12468112.9537,0.07%,-2.11%,-16.96%
Primas,PST,0.242159,80962.2,12398540.8,-2.60%,0.07%,-10.65%
The ChampCoin,TCC,0.0743281,295532.0,12258615.929,-1.66%,-8.57%,-32.71%
adToken,ADT,0.0203309,58098.0,12198540.0,3.04%,5.84%,2.29%
InvestFeed,IFT,0.0607659,111543.0,11629454.3247,1.04%,12.29%,19.34%
Nebulas Token,NAS,2.31698,4630160.0,11584900.0,-5.02%,-1.09%,16.10%
Polybius,PLBT,3.02949,16191.9,11575540.7411,-2.80%,1.69%,-1.10%
Asch,XAS,0.559018,574468.0,11365171.9098,-1.46%,1.83%,-9.29%
Nexium,NXC,0.170723,151704.0,11356764.7267,-1.78%,2.82%,-8.35%
PRIZM,PZM,1.11397,14962.5,11342702.2955,-0.54%,11.69%,12.38%
Nimiq,NET,1.0715,125030.0,11250750.0,-0.45%,8.35%,35.43%
DAO.Casino,BET,0.0670816,19836.9,11220794.2851,0.31%,15.52%,31.77%
bitqy,BQ,0.00471531,188338.0,11179577.8434,-1.30%,-32.70%,-63.87%
Compcoin,CMP,2.5779,15201.5,11141199.1548,8.62%,15.11%,25.05%
Mysterium,MYST,0.570229,189091.0,11078993.05,-0.79%,1.50%,-3.31%
KickCoin,KICK,0.0343283,252774.0,11024114.1304,-0.12%,1.77%,19.28%
XP,XP,6.69963e-05,10355.8,11019332.0049,17.31%,2246.26%,570.19%
Bitcloud,BTDX,0.728422,52656.6,10888070.8724,-1.31%,6.06%,29.76%
Credo,CREDO,0.0196754,3424.77,10819339.2111,0.37%,-3.82%,-16.85%
Burst,BURST,0.00600343,132478.0,10808214.0736,-1.39%,2.16%,-0.64%
